onset	duration	trial_type	response_time	word	gender	age	sub	ses	task	run	year	month	day	hour	minute	concreteness	con	trial_type1
557.3100103000179	0.6762508004903793	image_pos	0.6435088999569416	hygiene	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	3.11	abstract	image_pos
564.7090312000364	0.6772902002558112	image_pos	0.6945511000230908	forest	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.76	concrete	image_pos
577.3014981998131	0.6850386001169682	image_pos	0.5520144999027252	church	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.9	concrete	image_pos
587.3103975001723	0.6761774998158216	image_pos	0.310045899823308	cheese	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.7	concrete	image_pos
597.3101511001587	0.6763870995491743	image_neg	0.4936105003580451	prairie	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.8	concrete	image_neg
0.9915321003645658	0.6907516000792386	word_neg	0.4750498002395034	rumor	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	2.15	abstract	abstract
10.986209999769926	0.6961093004792946	word_pos	0.4278295999392867	river	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.89	concrete	concrete
20.98752180021256	0.6947830002754927	word_pos	0.4190667001530528	handshake	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.52	abstract	abstract
30.985893700271845	0.6965229995548761	word_neu	0.6354056000709534	bugle	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.84	concrete	concrete
40.98560910020024	0.6969465995207358	word_neu	0.602254600264132	chair	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.58	concrete	concrete
50.98466410022229	0.6978692999109626	word_pos	0.6113221999257803	home	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.11	abstract	abstract
60.98477470036596	0.6977602001279593	word_pos	0.5527604995295405	elm	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.69	concrete	concrete
70.98544210009277	0.697380599565804	word_neg	0.5431310003623366	law	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	2.57	abstract	abstract
80.98609070014209	0.6968150995671749	word_pos	0.3599966997280717	blueberry	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.96	concrete	concrete
90.98511639982462	0.6978060007095337	word_pos	0.6362685998901725	camera	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	5	concrete	concrete
100.98496550042182	0.6980521995574236	word_neg	0.4415670000016689	bee	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.88	concrete	concrete
110.9855094999075	0.6974216997623444	word_neg	0.4413708001375198	lawyer	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.7	concrete	concrete
120.98491649981588	0.6982320006936789	word_neg	0.5868129003793001	woe	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	1.96	abstract	abstract
130.98501219972968	0.6981134004890919	word_neg	0.568966000340879	old	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	2.72	abstract	abstract
140.98639800027013	0.6968684000894427	word_neg	0.5514521999284625	gunshot	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.93	concrete	concrete
150.9864961002022	0.6967895003035665	word_neg	0.4436556007713079	funeral	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	3.83	abstract	abstract
160.98582720011473	0.6976153999567032	word_pos	0.4574967995285988	honeymoon	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	3.59	abstract	abstract
170.9857994997874	0.6977543998509645	word_neu	0.5917575005441904	table	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.9	concrete	concrete
180.98666980024427	0.6968272998929308	word_pos	0.6108885994181037	chipmunk	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.97	concrete	concrete
190.98596149962395	0.6975818006321788	word_neu	0.4922583000734448	role	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	2.19	abstract	abstract
200.98557410016656	0.6981985997408913	word_neu	0.6092918999493122	comb	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	5	concrete	concrete
210.98608050029725	0.6976422993466258	word_neg	0.3602857002988457	protest	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	3.21	abstract	abstract
220.98613740038127	0.6978206997737288	word_neu	0.5678191008046269	medicine	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.79	concrete	concrete
230.9860530002043	0.6979211000725343	word_neg	0.4200999001041055	guilt	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	1.93	abstract	abstract
240.9862326998264	0.6977134002372054	word_neu	0.4421234000474214	analogy	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	1.61	abstract	abstract
250.98610549978912	0.6979219000786543	word_pos	0.4447376001626253	sun	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.83	concrete	concrete
260.9862929005176	0.6978148994967341	word_pos	0.3605838995426893	party	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	3.89	abstract	abstract
270.986508300528	0.6978529999032048	word_neg	0.4940319005399942	prison	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.68	concrete	concrete
280.988158300519	0.6962091997266384	word_neg	0.3764752997085452	crow	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.93	concrete	concrete
290.98664799984545	0.697647999972105	word_pos	0.4933209000155329	parade	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.54	abstract	abstract
300.98689290042967	0.697681900113821	word_neu	0.5446549002081156	audience	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.29	abstract	abstract
310.98823670018464	0.6964066000655293	word_neg	0.4095994001254439	judge	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	3.75	abstract	abstract
320.98663880024105	0.6978888995945454	word_neu	0.5428704004734755	big	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	3.66	abstract	abstract
330.9869598997757	0.6977866999804974	word_pos	0.4774147998541593	dolphin	female	1	79	001	EPIsequencewords	6	2022	4	19	13	55	4.96	concrete	concrete
